date,05-00-00,02-00-00,02-00-01,02-00-02,02-04-01,02-04-02,02-04-03,02-04-04,02-04-05,04-01-00,04-01-01,04-01-02,04-01-03,04-01-04,04-01-05,04-01-06,04-01-07,04-02-00,04-02-01,04-02-02,04-02-03,04-02-04,04-02-09,04-02-10,06-00-01,06-00-02,06-00-03,01-01-00,01-01-01,01-01-02,01-01-03,01-01-04,01-01-05,01-01-06,01-01-07,01-01-08,01-01-09,01-01-10,01-01-11,01-01-12,01-01-13,01-01-14,01-01-15,01-02-00,01-02-01,01-02-02,01-02-03,01-02-04,01-02-05,01-02-06,01-02-08,01-02-09,01-02-10,01-03-00,01-03-01,01-03-02,01-03-04,01-03-05,01-03-06,01-03-07,01-03-08,01-03-09,01-03-10,01-03-15,01-03-16,01-03-17,01-03-20,01-03-21,01-03-23,01-03-25,01-03-26,01-03-27,01-04-00,01-04-01,01-04-02,01-05-00,01-05-01,01-09-00,01-09-01,01-09-02
1992-11-01,108.2,3483.37,3742.2,-258.83,705.93,658.67,674.6372460540099,212.75,84.94,26923.5,14.2,5866.6,4.7,11699.5,21.2,9357.4,12.4,13000.1,5833.5,7166.6,4203.2,75.6,1572.6,84.4,21.939103091567798,3.0882705739553096,29.78039468002176,25402.2,31.3,11452.78,33.97,3989.1,32.86,7395.2,35.6,13670.7,27.6,1104.8,45.25,13100.9,40.07,512.6,29.07,1.4358305149727733,7.56,3.24,8.28,7.92,9.0,5.4,1.8,1.6903524747027963,1.6189178159175526,4.391592899460253,3.9179624933879316,8.1,8.59,8.75,7.29,7.78,9.0,9.54,9.72,2.88,7.2,5.76,5.76,5.76,3.1242995884624767,9.72,8.1,8.64,12.0,13.0,1.0,1267.0,217.12,13.386155849890047,9.32570128984238,9.332123831096057
1992-12-01,108.8,3483.37,3742.2,-258.83,705.93,658.67,671.2447184434053,212.75,84.94,26923.5,14.2,5866.6,4.7,11699.5,21.2,9357.4,12.4,13000.1,5833.5,7166.6,4203.2,75.6,1572.6,84.4,22.57890543761042,3.117016082684323,30.687396784077293,25402.2,31.3,11731.5,35.9,4336.0,36.4,7395.2,35.6,13670.7,27.6,1104.8,45.25,13100.9,40.07,512.6,29.07,1.4358374232066977,7.56,3.24,8.28,7.92,9.0,5.4,1.8,1.6887018031412997,1.6188574669579006,4.392790235647597,3.9191092613309335,8.1,8.59,8.75,7.29,7.78,9.0,9.54,9.72,2.88,7.2,5.76,5.76,5.76,3.049034631774774,9.72,8.1,8.64,12.0,13.0,1.0,1267.0,194.43,13.457323112627735,9.320664754165936,9.327905248419338
1993-01-01,110.3,4348.95,4642.3,-293.35,1081.48,966.09,669.5025471585194,256.47,84.94,6500.5,15.1,673.1,6.1,3363.8,19.4,2463.6,12.2,16412.1,6858.0,9554.1,5487.8,74.9,2408.5,84.7,21.461545132546817,3.0662627351952954,32.88798941263998,34879.8,37.31,13264.4,43.69,5021.91,31.32,9837.5,40.84,14718.3,36.05,1104.8,45.25,13100.9,40.07,512.6,29.07,1.4335573248750915,7.56,3.24,8.28,7.92,9.0,5.4,1.8,1.5580828349209956,1.6163701348818698,4.386908611372077,3.912596999562027,8.1,8.59,8.75,7.29,7.78,9.0,9.54,9.72,2.88,7.2,5.76,5.76,5.76,3.0204369914938187,9.72,8.1,8.64,12.0,13.0,1.0,1267.0,201.38,13.965550351964502,8.812698369913763,8.809767947520875
1993-02-01,110.5,4348.95,4642.3,-293.35,1081.48,966.09,665.6987346706575,256.47,84.94,6500.5,15.1,673.1,6.1,3363.8,19.4,2463.6,12.2,16412.1,6858.0,9554.1,5487.8,74.9,2408.5,84.7,22.663938231182602,3.120775037108979,34.44146531947504,34879.8,37.31,13230.3,50.17,4639.35,41.66,9837.5,40.84,14718.3,36.05,1104.8,45.25,13100.9,40.07,512.6,29.07,1.4344636717134267,7.56,3.24,8.28,7.92,9.0,5.4,1.8,1.5023221033531962,1.6170746599806833,4.38767882281221,3.9132177803156396,8.1,8.59,8.75,7.29,7.78,9.0,9.54,9.72,2.88,7.2,5.76,5.76,5.76,2.7250826155862993,9.72,8.1,8.64,12.0,13.0,1.0,1267.0,202.8,14.121822374446628,8.816602642835438,8.811802897389443
1993-03-01,112.2,4348.95,4642.3,-293.35,1081.48,966.09,650.7615585497987,256.47,84.94,6500.5,15.1,673.1,6.1,3363.8,19.4,2463.6,12.2,16412.1,6858.0,9554.1,5487.8,74.9,2408.5,84.7,23.782557804903554,3.1689524466601613,36.537460082708805,34879.8,37.31,13444.03,51.52,4557.93,46.22,9837.5,40.84,14718.3,36.05,1104.8,45.25,13100.9,40.07,512.6,29.07,1.4341606136791658,7.56,3.24,8.28,7.92,9.0,5.4,1.8,1.5036892047269244,1.616686734245867,4.391015326937633,3.916532974006382,8.1,8.59,8.75,7.29,7.78,9.0,9.54,9.72,2.88,7.2,5.76,5.76,5.76,2.712767673603937,9.72,8.1,8.64,12.0,13.0,1.0,1267.0,198.11,14.256344195004592,8.797754800208704,8.797305806950405
1993-04-01,112.6,4348.95,4642.3,-293.35,1081.48,966.09,652.1085011252411,256.47,84.94,14543.5,14.8,1897.4,4.2,7532.2,19.7,5113.9,13.1,16412.1,6858.0,9554.1,5487.8,74.9,2408.5,84.7,24.66065907442491,3.205209223835862,35.85437642179918,34879.8,37.31,13952.1,51.74,4704.5,50.73,9348.1,40.84,15930.3,36.05,1129.0,45.25,14323.5,40.07,477.8,29.07,1.4361662221608194,7.56,3.24,8.28,7.92,9.0,5.4,1.8,1.4891446025572728,1.6186657190966185,4.394619222402562,3.920262271547217,8.1,8.59,8.75,7.29,7.78,9.0,9.54,9.72,2.88,7.2,5.76,5.76,5.76,2.621463442799089,9.72,8.1,8.64,12.0,13.0,1.0,1267.0,196.42,13.911416723363482,8.828130365494998,8.843763857458292
1993-05-01,114.0,4348.95,4642.3,-293.35,1081.48,966.09,638.9338279660103,256.47,84.94,14543.5,14.8,1897.4,4.2,7532.2,19.7,5113.9,13.1,16412.1,6858.0,9554.1,5487.8,74.9,2408.5,84.7,25.344081228873016,3.232545220680265,37.22688602692244,34879.8,37.31,14166.1,49.75,4745.84,52.54,9348.1,40.84,15930.3,36.05,1129.0,45.25,14323.5,40.07,477.8,29.07,1.4355988421292634,9.18,4.86,10.8,9.9,12.06,7.2,2.16,1.5114508774913977,1.6180915690004842,4.39771513182766,3.9234079683147556,9.72,10.85,11.02,7.94,8.42,10.8,12.06,12.24,2.88,7.92,6.48,6.48,6.48,2.7138549688740317,11.25,8.82,9.36,12.0,13.0,1.0,1267.0,194.51,13.970013737538716,8.812838287533511,8.833338714539675
1993-06-01,115.1,4348.95,4642.3,-293.35,1081.48,966.09,625.9838532441316,256.47,84.94,14543.5,14.8,1897.4,4.2,7532.2,19.7,5113.9,13.1,16412.1,6858.0,9554.1,5487.8,74.9,2408.5,84.7,25.78860220037685,3.249932619136976,38.13690690624146,34879.8,37.31,14016.27,45.0,4863.56,54.11,9348.1,40.84,15930.3,36.05,1129.0,45.25,14323.5,40.07,477.8,29.07,1.4349432997870344,9.18,4.86,10.8,9.9,12.06,7.2,2.16,1.565840753576323,1.617471872490671,4.400901419584782,3.926699243236422,9.72,10.85,11.02,7.94,8.42,10.8,12.06,12.24,2.88,7.92,6.48,6.48,6.48,2.87532877294404,11.25,8.82,9.36,12.0,13.0,1.0,1267.0,188.77,13.978286291855786,8.804334862302142,8.830087496189533
1993-07-01,116.2,4348.95,4642.3,-293.35,1081.48,966.09,609.2285741525396,256.47,84.94,23591.5,14.3,4020.5,4.2,11574.6,19.4,7996.4,13.0,16412.1,6858.0,9554.1,5487.8,74.9,2408.5,84.7,25.209818832776634,3.227233554850192,38.03826239869933,34879.8,37.31,13749.96,35.37,4908.3,49.71,10415.7,40.84,17015.4,36.05,1247.9,45.25,15203.5,40.07,564.0,29.07,1.4326654451895227,10.98,6.66,12.24,11.7,13.86,9.0,3.15,1.7220172670432936,1.6154348735360355,4.403161325129236,3.9290162069900836,11.02,12.47,12.64,8.1,9.88,12.24,13.86,14.04,2.88,7.92,6.48,6.48,6.48,3.2453617582464482,11.25,9.0,10.98,12.0,13.0,1.0,1267.0,189.95,13.842167007862159,8.840182648154428,8.874416167023707
1993-08-01,116.0,4348.95,4642.3,-293.35,1081.48,966.09,608.1394766145316,256.47,84.94,23591.5,14.3,4020.5,4.2,11574.6,19.4,7996.4,13.0,16412.1,6858.0,9554.1,5487.8,74.9,2408.5,84.7,24.400438262882155,3.1946010937313796,36.901791259852786,34879.8,37.31,13606.29,29.33,4907.59,44.87,10415.7,40.84,17015.4,36.05,1247.9,45.25,15203.5,40.07,564.0,29.07,1.4321187107359583,10.98,6.66,12.24,11.7,13.86,9.0,3.15,1.7677040162037747,1.615022079919565,4.403311355176114,3.929302569950007,11.02,12.47,12.64,8.1,9.88,12.24,13.86,14.04,2.88,7.92,6.48,6.48,6.48,3.5021904553869,11.25,9.0,10.98,12.0,13.0,1.0,1267.0,191.59,13.730313414651517,8.842997253035184,8.8792846703486
