Date,Open,High,Low,Close,Adj Close,Volume
1992-01-02,293.750000,293.750000,293.750000,293.750000,293.750000,0
1992-01-03,296.519989,296.519989,296.519989,296.519989,296.519989,0
1992-01-06,297.679993,297.679993,297.679993,297.679993,297.679993,0
1992-01-07,298.769989,298.769989,298.769989,298.769989,298.769989,0
1992-01-08,299.660004,299.660004,299.660004,299.660004,299.660004,0
1992-01-09,300.619995,300.619995,300.619995,300.619995,300.619995,0
1992-01-10,301.829987,301.829987,301.829987,301.829987,301.829987,0
1992-01-13,303.059998,303.059998,303.059998,303.059998,303.059998,0
1992-01-14,305.739990,305.739990,305.739990,305.739990,305.739990,0
1992-01-15,306.630005,306.630005,306.630005,306.630005,306.630005,0
1992-01-16,306.850006,306.850006,306.850006,306.850006,306.850006,0
1992-01-17,307.380005,307.380005,307.380005,307.380005,307.380005,0
1992-01-20,307.390015,307.390015,307.390015,307.390015,307.390015,0
1992-01-21,307.869995,307.869995,307.869995,307.869995,307.869995,0
1992-01-22,307.950012,307.950012,307.950012,307.950012,307.950012,0
1992-01-23,308.529999,308.529999,308.529999,308.529999,308.529999,0
1992-01-24,309.049988,309.049988,309.049988,309.049988,309.049988,0
1992-01-27,311.609985,311.609985,311.609985,311.609985,311.609985,0
1992-01-28,311.839996,311.839996,311.839996,311.839996,311.839996,0
1992-01-29,312.420013,312.420013,312.420013,312.420013,312.420013,0
1992-01-30,312.730011,312.730011,312.730011,312.730011,312.730011,0
1992-01-31,313.239990,313.239990,313.239990,313.239990,313.239990,0
1992-02-03,314.179993,314.179993,314.179993,314.179993,314.179993,0
1992-02-04,null,null,null,null,null,null
1992-02-05,null,null,null,null,null,null
1992-02-06,null,null,null,null,null,null
1992-02-07,314.720001,314.720001,314.720001,314.720001,314.720001,0
1992-02-10,315.559998,315.559998,315.559998,315.559998,315.559998,0
1992-02-11,316.429993,316.429993,316.429993,316.429993,316.429993,0
1992-02-12,316.440002,316.440002,316.440002,316.440002,316.440002,0
1992-02-13,317.040009,317.040009,317.040009,317.040009,317.040009,0
1992-02-14,319.679993,319.679993,319.679993,319.679993,319.679993,0
1992-02-17,319.769989,319.769989,319.769989,319.769989,319.769989,0
1992-02-18,337.109985,337.109985,337.109985,337.109985,337.109985,0
1992-02-19,342.410004,342.410004,342.410004,342.410004,342.410004,0
1992-02-20,347.989990,347.989990,347.989990,347.989990,347.989990,0
1992-02-21,359.589996,359.589996,359.589996,359.589996,359.589996,0
1992-02-24,360.500000,360.500000,360.500000,360.500000,360.500000,0
