金融信息_央行黄金和外汇储备_央行黄金和外汇储备(1978.12-2017.5)_宏观数据_新浪财经

统计时间, 黄金储备(万盎司), 国家外汇储备(亿美元), 
2009.6, 3389.00, 21316.06, 
2009.5, 3389.00, 20894.91, 
2009.4, 3389.00, 20088.80, 
2009.3, 1929.00, 19537.41, 
2009.2, 1929.00, 19120.66, 
2009.1, 1929.00, 19134.56, 
2008.12, 1929.00, 19460.30, 
2008.11, 1929.00, 18847.17, 
2008.10, 1929.00, 18796.88, 
2008.9, 1929.00, 19055.85, 
2008.8, 1929.00, 18841.53, 
2008.7, 1929.00, 18451.64, 
2008.6, 1929.00, 18088.28, 
2008.5, 1929.00, 17969.61, 
2008.4, 1929.00, 17566.55, 
2008.3, 1929.00, 16821.77, 
2008.2, 1929.00, 16471.34, 
2008.1, 1929.00, 15898.10, 
2007.12, 1929.00, 15282.49, 
2007.11, 1929.00, 14969.06, 
2007.10, 1929.00, 14548.98, 
2007.9, 1929.00, 14336.11, 
2007.8, 1929.00, 14086.41, 
2007.7, 1929.00, 13852.00, 
2007.6, 1929.00, 13326.25, 
2007.5, 1929.00, 12926.71, 
2007.4, 1929.00, 12465.66, 
2007.3, 1929.00, 12020.31, 
2007.2, 1929.00, 11573.72, 
2007.1, 1929.00, 11046.92, 
2006.12, 1929.00, 10663.40, 
2006.11, 1929.00, 10387.51, 
2006.10, 1929.00, 10096.26, 
2006.9, 1929.00, 9879.28, 
2006.8, 1929.00, 9720.39, 
2006.7, 1929.00, 9545.50, 
2006.6, 1929.00, 9411.15, 
2006.5, 1929.00, 9250.20, 
2006.4, 1929.00, 8950.40, 
2006.3, 1929.00, 8750.70, 
2006.2, 1929.00, 8536.72, 
2006.1, 1929.00, 8451.80, 
2005.12, 1929.00, 8188.72, 
2005.11, 1929.00, 7942.23, 
2005.10, 1929.00, 7849.02, 
2005.9, 1929.00, 7690.04, 
2005.8, 1929.00, 7532.09, 
2005.7, 1929.00, 7327.33, 
2005.6, 1929.00, 7109.73, 
2005.5, 1929.00, 6910.12, 
2005.4, 1929.00, 6707.74, 
2005.3, 1929.00, 6591.44, 
2005.2, 1929.00, 6426.10, 
2005.1, 1929.00, 6236.46, 
2004.12, 1929.00, 6099.32, 
2004.11, 1929.00, 5738.82, 
2004.10, 1929.00, 5424.43, 
2004.9, 1929.00, 5145.38, 
2004.8, 1929.00, 4961.69, 
2004.7, 1929.00, 4829.82, 
2004.6, 1929.00, 4706.39, 
2004.5, 1929.00, 4585.60, 
2004.4, 1929.00, 4490.17, 
2004.3, 1929.00, 4398.22, 
2004.2, 1929.00, 4266.39, 
2004.1, 1929.00, 4157.20, 
2003.12, 1929.00, 4032.51, 
2003.11, 1929.00, 4203.61, 
2003.10, 1929.00, 4009.92, 
2003.9, 1929.00, 3838.63, 
2003.8, 1929.00, 3647.34, 
2003.7, 1929.00, 3564.86, 
2003.6, 1929.00, 3464.76, 
2003.5, 1929.00, 3400.61, 
2003.4, 1929.00, 3262.91, 
2003.3, 1929.00, 3160.10, 
2003.2, 1929.00, 3082.50, 
2003.1, 1929.00, 3044.60, 
2002.12, 1929.00, 2864.07, 
2002.11, 1608.00, 2746.25, 
2002.10, 1608.00, 2655.39, 
2002.9, 1608.00, 2586.30, 
2002.8, 1608.00, 2530.90, 
2002.7, 1608.00, 2465.34, 
2002.6, 1608.00, 2427.63, 
2002.5, 1608.00, 2384.73, 
2002.4, 1608.00, 2338.24, 
2002.3, 1608.00, 2276.05, 
2002.2, 1608.00, 2235.31, 
2002.1, 1608.00, 2174.00, 
2001.12, 1608.00, 2121.65, 
2001.11, 1267.00, 2083.15, 
2001.10, 1267.00, 2030.29, 
2001.9, 1267.00, 1957.64, 
2001.8, 1267.00, 1900.53, 
2001.7, 1267.00, 1844.92, 
2001.6, 1267.00, 1808.38, 
2001.5, 1267.00, 1790.00, 
2001.4, 1267.00, 1771.78, 
2001.3, 1267.00, 1758.47, 
2001.2, 1267.00, 1747.73, 
2001.1, 1267.00, 1686.23, 
2000.12, 1267.00, 1655.74, 
2000.11, 1267.00, 1639.11, 
2000.10, 1267.00, 1613.44, 
2000.9, 1267.00, 1600.92, 
2000.8, 1267.00, 1592.17, 
2000.7, 1267.00, 1585.96, 
2000.6, 1267.00, 1585.68, 
