价格指数_CPI居民消费价格指数_居民消费价格指数(CPI)(1990.1-2017.5)_宏观数据_新浪财经

统计月份, 价格指数, 
1995.8, 114.50, 
1995.7, 116.70, 
1995.6, 118.20, 
1995.5, 120.30, 
1995.4, 120.70, 
1995.3, 121.30, 
1995.2, 122.40, 
1995.1, 124.10, 
1994.12, 125.50, 
1994.11, 127.50, 
1994.10, 127.70, 
1994.9, 127.30, 
1994.8, 125.80, 
1994.7, 124.00, 
1994.6, 122.60, 
1994.5, 121.30, 
1994.4, 121.70, 
1994.3, 122.40, 
1994.2, 123.20, 
1994.1, 121.10, 
1993.12, 118.80, 
1993.11, 116.70, 
1993.10, 115.90, 
1993.9, 115.70, 
1993.8, 116.00, 
1993.7, 116.20, 
1993.6, 115.10, 
1993.5, 114.00, 
1993.4, 112.60, 
1993.3, 112.20, 
1993.2, 110.50, 
1993.1, 110.30, 
1992.12, 108.80, 
1992.11, 108.20, 
1992.10, 107.90, 
1992.9, 107.50, 
1992.8, 105.80, 
1992.7, 105.20, 
1992.6, 104.80, 
1992.5, 104.70, 
1992.4, 107.10, 
1992.3, 105.30, 
1992.2, 105.30, 
1992.1, 105.50, 
1991.12, 104.50, 
1991.11, 104.40, 
1991.10, 104.80, 
1991.9, 104.50, 
1991.8, 104.90, 
1991.7, 104.70, 
1991.6, 104.40, 
1991.5, 103.60, 
1991.4, 101.30, 
1991.3, 101.60, 
1991.2, 101.00, 
1991.1, 102.20, 
1990.12, 104.30, 
1990.11, 103.70, 
1990.10, 103.10, 
1990.9, 102.90, 
1990.8, 102.50, 
1990.7, 101.10, 
1990.6, 101.10, 
1990.5, 102.70, 
1990.4, 103.20, 
1990.3, 103.40, 
1990.2, 104.40, 
1990.1, 104.30, 
