景气指数_制造业PMI_中国制造业采购经理指数(PMI)(2005.1-2017.5)_宏观数据_新浪财经

统计月份, PMI, 生产指数, 新订单指数, 新出口订单指数, 积压订单指数, 产成品库存指数, 采购量指数, 进口指数, 购进价格指数, 原材料库存指数, 从业人员指数, 供应商配送时间指数, 
2013.8, 51.00, 52.60, 52.40, 50.20, 44.80, 47.60, 52.00, 50.00, 53.20, 48.00, 49.30, 50.40, 
2013.7, 50.30, 52.40, 50.60, 49.00, 44.70, 47.30, 50.00, 48.40, 50.10, 47.60, 49.10, 50.10, 
2013.6, 50.10, 52.00, 50.40, 47.70, 42.90, 48.20, 49.50, 47.90, 44.60, 47.40, 48.70, 50.30, 
2013.5, 50.80, 53.30, 51.80, 49.40, 44.87, 48.59, 51.52, 50.30, 45.10, 47.60, 48.80, 50.80, 
2013.4, 50.60, 52.60, 51.70, 48.60, 43.60, 47.70, 51.00, 48.70, 40.10, 47.50, 49.00, 50.80, 
2013.3, 50.90, 52.70, 52.30, 50.90, 47.10, 50.20, 47.10, 48.90, 50.60, 47.50, 49.80, 51.10, 
2013.2, 50.10, 51.20, 50.10, 47.30, 44.40, 46.60, 50.20, 48.10, 55.50, 49.50, 47.60, 48.30, 
2013.1, 50.40, 51.30, 51.60, 48.50, 44.40, 47.40, 53.20, 49.10, 57.20, 50.10, 47.80, 50.00, 
2012.12, 50.60, 52.00, 51.20, 50.00, 45.90, 49.40, 52.10, 49.00, 53.30, 47.30, 49.00, 48.80, 
2012.11, 50.60, 52.50, 51.20, 50.20, 45.27, 48.77, 51.40, 48.50, 50.10, 47.90, 48.70, 49.90, 
2012.10, 50.20, 52.10, 50.40, 49.30, 43.80, 48.10, 51.20, 48.40, 54.30, 47.30, 49.20, 50.10, 
2012.9, 49.80, 51.30, 49.80, 48.80, 46.52, 47.87, 49.80, 47.69, 50.97, 47.00, 48.90, 49.50, 
2012.8, 49.20, 50.90, 48.70, 46.60, 46.60, 48.20, 48.80, 47.00, 46.10, 45.10, 49.10, 50.00, 
2012.7, 50.10, 51.80, 49.00, 46.60, 41.90, 48.00, 46.80, 45.00, 41.00, 48.50, 49.50, 49.00, 
2012.6, 50.20, 52.00, 49.20, 47.50, 43.30, 52.30, 46.90, 46.50, 41.20, 48.20, 49.70, 49.10, 
2012.5, 50.20, 52.90, 49.80, 50.40, 43.60, 52.20, 50.80, 48.10, 44.80, 45.10, 50.50, 49.00, 
2012.4, 53.30, 57.20, 54.50, 52.20, 48.40, 49.50, 54.40, 50.50, 54.80, 48.50, 51.00, 49.60, 
2012.3, 53.10, 55.20, 55.10, 51.90, 50.50, 50.80, 54.80, 51.50, 55.90, 49.50, 51.00, 48.90, 
2012.2, 51.00, 53.80, 51.00, 51.10, 49.40, 50.50, 53.60, 50.80, 54.00, 48.80, 49.50, 50.30, 
2012.1, 50.50, 53.60, 50.40, 46.90, 43.20, 48.00, 50.20, 46.90, 50.00, 49.70, 47.10, 49.70, 
2011.12, 50.30, 53.40, 49.80, 48.60, 46.60, 50.60, 50.90, 49.10, 47.10, 48.30, 48.70, 50.10, 
2011.11, 49.00, 50.90, 47.80, 45.60, 45.20, 53.10, 49.80, 47.30, 44.40, 46.70, 49.00, 50.40, 
2011.10, 50.40, 52.30, 50.50, 48.60, 46.00, 50.30, 50.70, 47.00, 46.20, 48.50, 49.70, 50.70, 
2011.9, 51.20, 52.70, 51.30, 50.90, 48.90, 49.90, 51.50, 50.10, 56.60, 49.00, 51.00, 49.50, 
2011.8, 50.90, 52.30, 51.10, 48.30, 47.60, 48.90, 51.20, 49.70, 57.20, 48.80, 50.40, 49.90, 
2011.7, 50.70, 52.10, 51.10, 50.40, 46.50, 49.20, 52.00, 49.10, 56.30, 47.60, 50.50, 50.30, 
2011.6, 50.90, 53.10, 50.80, 50.50, 45.90, 51.00, 51.50, 48.70, 56.70, 48.50, 50.20, 49.80, 
2011.5, 52.00, 54.90, 52.10, 51.10, 47.70, 50.00, 53.60, 50.50, 60.30, 49.50, 50.90, 49.90, 
2011.4, 52.90, 55.30, 53.80, 51.30, 50.70, 50.80, 53.80, 50.60, 66.20, 52.00, 51.80, 50.60, 
2011.3, 53.40, 55.70, 55.20, 52.50, 51.40, 51.30, 54.10, 52.00, 68.30, 51.60, 51.80, 50.40, 
2011.2, 52.20, 53.80, 54.30, 50.90, 46.60, 46.40, 54.50, 53.90, 70.10, 49.50, 48.90, 48.20, 
2011.1, 52.90, 55.30, 54.90, 50.70, 46.50, 47.90, 57.70, 53.00, 69.30, 52.00, 49.00, 49.50, 
2010.12, 53.90, 57.50, 55.40, 53.50, 50.70, 48.70, 56.80, 50.40, 66.70, 50.80, 51.50, 49.60, 
2010.11, 55.20, 58.50, 58.30, 53.20, 50.50, 47.70, 57.40, 50.60, 73.50, 49.70, 52.00, 48.90, 
2010.10, 54.70, 57.10, 58.20, 52.60, 50.20, 45.70, 58.30, 52.80, 69.90, 49.50, 52.10, 49.30, 
2010.9, 53.80, 56.40, 56.30, 52.80, 50.90, 45.00, 56.20, 52.90, 65.30, 49.10, 52.40, 50.40, 
2010.8, 51.70, 53.10, 53.10, 52.20, 48.20, 46.90, 51.90, 48.40, 60.50, 47.30, 51.70, 50.70, 
2010.7, 51.20, 52.70, 50.90, 51.20, 46.80, 49.90, 52.20, 49.30, 50.40, 47.80, 52.20, 49.90, 
2010.6, 52.10, 55.80, 52.10, 51.70, 47.40, 51.30, 53.50, 50.40, 51.30, 49.40, 50.60, 50.00, 
2010.5, 53.90, 58.20, 54.80, 53.80, 49.70, 49.80, 56.00, 50.90, 58.90, 51.00, 52.10, 50.90, 
2010.4, 55.70, 59.10, 59.30, 54.50, 53.40, 46.20, 60.10, 53.10, 72.60, 51.50, 53.20, 51.10, 
2010.3, 55.10, 58.40, 58.10, 54.50, 52.00, 48.30, 58.10, 53.70, 65.10, 50.60, 52.90, 50.50, 
2010.2, 52.00, 54.30, 53.70, 50.30, 47.10, 47.30, 51.90, 49.10, 61.10, 48.10, 49.90, 49.70, 
2010.1, 55.80, 60.50, 59.90, 53.20, 49.90, 47.30, 60.50, 53.40, 68.50, 52.20, 50.60, 51.00, 
2009.12, 56.60, 61.40, 61.00, 52.60, 52.40, 47.10, 61.00, 52.50, 66.70, 51.40, 52.20, 50.80, 
2009.11, 55.20, 59.40, 58.40, 53.60, 50.90, 45.40, 58.20, 52.20, 63.40, 51.40, 51.10, 50.40, 
2009.10, 55.20, 59.30, 58.50, 54.50, 50.00, 43.40, 59.00, 52.80, 56.90, 49.00, 52.40, 50.70, 
2009.9, 54.30, 58.00, 56.80, 53.30, 48.50, 46.00, 58.40, 50.70, 57.50, 47.90, 53.20, 51.00, 
2009.8, 54.00, 57.90, 56.30, 52.10, 48.90, 46.50, 58.10, 51.30, 62.60, 48.80, 51.40, 50.40, 
2009.7, 53.30, 57.30, 55.50, 52.10, 47.20, 45.60, 55.70, 48.90, 59.90, 48.10, 50.80, 50.80, 
2009.6, 53.20, 57.10, 55.50, 51.40, 46.70, 45.00, 55.60, 49.90, 57.80, 47.40, 50.10, 50.10, 
2009.5, 53.10, 56.90, 56.20, 50.10, 48.80, 46.20, 55.80, 49.40, 53.10, 46.10, 49.90, 50.20, 
2009.4, 53.50, 57.40, 56.60, 49.10, 48.90, 44.80, 56.20, 50.00, 51.30, 46.90, 50.30, 50.60, 
2009.3, 52.40, 56.90, 54.60, 47.50, 48.80, 46.70, 54.00, 48.80, 48.30, 47.50, 48.60, 51.30, 
2009.2, 49.00, 51.20, 50.40, 43.40, 44.20, 47.70, 49.50, 41.80, 46.50, 45.60, 46.10, 51.30, 
2009.1, 45.30, 45.50, 45.00, 33.70, 39.20, 43.50, 44.30, 39.90, 41.50, 43.90, 43.00, 50.60, 
2008.12, 41.20, 39.40, 37.30, 30.70, 35.80, 44.70, 36.20, 33.30, 32.70, 40.60, 43.30, 50.40, 
2008.11, 38.80, 35.50, 32.30, 29.00, 36.00, 50.80, 34.20, 32.20, 26.60, 39.50, 44.30, 50.70, 
2008.10, 44.60, 44.30, 41.70, 41.40, 40.70, 51.40, 42.40, 39.40, 32.30, 42.60, 47.00, 50.80, 
2008.9, 51.20, 54.60, 51.30, 48.80, 47.30, 50.50, 50.80, 46.40, 44.70, 47.50, 50.30, 50.80, 
2008.8, 48.40, 48.70, 46.00, 48.40, 45.40, 49.00, 46.90, 45.30, 57.80, 46.80, 50.70, 49.50, 
2008.7, 48.40, 47.40, 46.20, 46.70, 45.40, 47.80, 47.10, 45.40, 71.30, 48.00, 50.60, 48.50, 
2008.6, 52.00, 54.20, 52.60, 50.20, 47.10, 49.50, 53.50, 50.90, 75.70, 47.80, 50.30, 47.80, 
2008.5, 53.30, 55.70, 55.40, 53.40, 49.30, 48.70, 53.70, 50.30, 73.90, 48.10, 51.20, 48.80, 
2008.4, 59.20, 66.50, 65.00, 58.90, 53.40, 47.20, 64.60, 56.10, 75.10, 51.20, 52.90, 51.00, 
2008.3, 58.40, 64.10, 63.80, 59.10, 54.60, 47.30, 64.00, 57.50, 74.60, 50.80, 53.40, 50.50, 
2008.2, 53.40, 55.40, 56.90, 51.30, 50.90, 47.30, 54.60, 50.70, 70.10, 45.10, 49.80, 46.50, 
2008.1, 53.00, 56.10, 55.20, 49.00, 48.60, 48.40, 56.90, 51.30, 67.70, 49.20, 49.70, 49.70, 
2007.12, 55.30, 59.50, 59.60, 54.30, 49.40, 47.20, 58.70, 54.30, 69.00, 50.70, 51.60, 52.40, 
2007.11, 55.40, 60.10, 59.40, 53.80, 51.30, 48.60, 59.40, 53.30, 70.10, 50.40, 51.20, 51.60, 
2007.10, 53.20, 54.90, 56.40, 53.60, 51.20, 47.60, 56.20, 51.60, 66.10, 48.50, 52.10, 51.60, 
2007.9, 56.10, 61.70, 60.70, 55.10, 51.30, 47.40, 59.60, 53.70, 65.60, 48.40, 51.80, 51.70, 
2007.8, 54.00, 57.10, 56.30, 55.20, 48.90, 45.70, 56.10, 52.30, 63.00, 50.30, 52.10, 51.10, 
2007.7, 53.30, 55.70, 56.00, 53.50, 48.80, 47.50, 54.10, 50.40, 58.90, 50.40, 51.10, 51.20, 
2007.6, 54.50, 59.70, 57.40, 55.00, 50.30, 47.30, 56.70, 53.60, 62.80, 49.10, 51.30, 52.00, 
2007.5, 55.70, 60.90, 60.40, 57.70, 51.50, 44.50, 58.50, 51.50, 65.90, 49.10, 51.30, 51.80, 
2007.4, 58.60, 65.50, 65.10, 62.30, 53.30, 46.80, 63.40, 56.30, 64.90, 50.30, 52.40, 51.90, 
2007.3, 56.10, 60.70, 60.80, 61.50, 55.10, 45.80, 60.50, 56.40, 58.30, 50.80, 51.90, 51.70, 
2007.2, 53.10, 56.60, 57.10, 53.00, 49.10, 44.00, 57.60, 51.60, 55.90, 47.40, 48.50, 50.60, 
2007.1, 55.10, 60.30, 59.60, 55.20, 52.00, 45.50, 59.70, 55.00, 55.40, 50.60, 50.10, 52.60, 
2006.12, 54.80, 59.20, 58.90, 55.00, 50.30, 46.50, 56.90, 52.40, 57.50, 49.50, 51.00, 52.00, 
2006.11, 55.30, 61.00, 59.60, 57.10, 49.50, 45.20, 59.90, 52.00, 55.30, 48.80, 50.50, 51.90, 
2006.10, 54.70, 58.20, 59.70, 57.40, 49.60, 44.00, 58.30, 52.00, 53.50, 47.80, 51.50, 52.20, 
2006.9, 57.00, 62.00, 62.70, 60.20, 53.20, 44.70, 61.70, 54.80, 56.70, 50.10, 52.90, 52.60, 
2006.8, 53.10, 56.00, 57.30, 55.00, 50.00, 44.50, 54.90, 49.60, 59.70, 45.10, 50.90, 51.80, 
2006.7, 52.40, 55.50, 54.40, 55.20, 48.00, 48.00, 52.10, 50.40, 60.00, 46.80, 51.30, 51.50, 
2006.6, 54.10, 58.70, 57.30, 58.00, 50.30, 46.80, 53.90, 51.50, 64.10, 46.60, 50.80, 50.60, 
2006.5, 54.80, 58.70, 61.00, 58.90, 50.90, 42.90, 57.50, 54.80, 63.40, 45.60, 50.10, 51.80, 
2006.4, 58.10, 65.10, 65.10, 61.70, 51.80, 44.80, 62.70, 57.00, 63.30, 47.90, 50.50, 50.90, 
2006.3, 55.30, 58.20, 60.70, 58.70, 53.40, 46.80, 59.10, 55.50, 55.10, 48.90, 51.40, 50.80, 
